topic,rank,word,is_name
45,10,married,0
46,1,rapier,0
46,2,sword,0
46,3,fight,0
46,4,gentlemen,0
46,5,gentleman,0
46,6,kicked,0
46,7,kill,0
46,8,dagger,0
46,9,signor,0
46,10,valour,0
47,1,knave,0
47,2,rogue,0
47,3,money,0
47,4,knaves,0
47,5,thief,0
47,6,rogues,0
47,7,pray,0
47,8,whore,0
47,9,nichol,1
47,10,book,0
48,1,lady,0
48,2,love,0
48,3,heart,0
48,4,fair,0
48,5,eyes,0
48,6,la,0
48,7,lord,0
48,8,tears,0
48,9,fie,0
48,10,face,0
49,1,mistress,0
49,2,gentleman,0
49,3,love,0
49,4,lady,0
49,5,woman,0
49,6,pray,0
49,7,gentlewoman,0
49,8,hear,0
49,9,honest,0
49,10,way,0
50,1,sea,0
50,2,honour,0
50,3,general,0
50,4,soldiers,0
50,5,men,0
50,6,ship,0
50,7,fight,0
50,8,soldier,0
50,9,king,0
50,10,vittori,1
51,1,esau,1
51,2,iacob,1
51,3,father,0
51,4,son,0
51,5,isaac,1
51,6,god,0
51,7,love,0
51,8,birthright,0
51,9,parents,0
51,10,thing,0
52,1,brother,0
52,2,father,0
52,3,uncle,0
52,4,cousin,0
52,5,son,0
52,6,poor,0
52,7,bread,0
52,8,old,0
52,9,given,0
52,10,master,0
53,1,crown,0
53,2,king,0
53,3,state,0
53,4,life,0
53,5,lord,0
53,6,lords,0
53,7,live,0
53,8,queen,0
53,9,tullia,1
53,10,prince,0
54,1,antony,0
54,2,caesar,1
54,3,anthony,1
54,4,cleopatra,1
54,5,antonius,1
54,6,love,0
54,7,death,0
54,8,die,0
54,9,heart,0
54,10,breast,0
55,1,fairy,0
55,2,fairies,0
55,3,oberon,0
55,4,mopsus,1
55,5,queen,0
55,6,land,0
55,7,grace,0
55,8,babylon,0
55,9,mab,0
55,10,thestylis,1
56,1,magic,0
56,2,faustus,1
56,3,charms,0
56,4,charm,0
56,5,conjure,0
56,6,spirits,0
56,7,skill,0
56,8,ho,0
56,9,power,0
56,10,spells,0
57,1,ship,0
57,2,sea,0
57,3,master,0
57,4,sail,0
57,5,home,0
57,6,money,0
57,7,pisaro,1
57,8,life,0
57,9,ships,0
57,10,till,0
58,1,jack,0
58,2,john,0
58,3,daw,1
58,4,dauphine,1
58,5,amorous,0
58,6,mistress,0
58,7,trve,0
58,8,ladies,0
58,9,wit,0
58,10,madame,0
59,1,andrea,1
59,2,spain,0
59,3,portugal,0
59,4,tribute,0
59,5,horatio,1
59,6,king,0
59,7,bellimperia,1
59,8,prince,0
59,9,lord,0
59,10,lorenzo,1
60,1,caesar,1
60,2,rome,0
60,3,emperor,0
60,4,empire,0
60,5,honour,0
60,6,lord,0
60,7,lucius,1
60,8,great,0
60,9,palsgrave,1
60,10,kings,0
61,1,gyles,0
61,2,giles,0
61,3,lord,0
61,4,wood,0
61,5,captain,0
61,6,cutt,0
61,7,lady,0
61,8,ladies,0
61,9,emphatical,0
61,10,knights,0
62,1,courtier,0
62,2,shrug,0
62,3,face,0
62,4,court,0
62,5,italian,0
62,6,monsieur,0
62,7,scholar,0
62,8,fashion,0
62,9,french,0
62,10,courtiers,0
