work_id,title,author,n_editions,editions,year_first,genre_deep,genre_annals,genre_main,genre_source,play_type_deep,play_type_main,words_mean,cat:included,cat:candidate,cat:contextual_only,cat:pending,cat:unclassified,cat:outlier_hdbscan,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62
281,The Case Is Altered,"Jonson, Ben",1,663,1609,comedy,comedy,comedy,britdrama,Boys Professional;Professional,Boys Professional,17675,0.30359,0.0,0.0,0.02789,0.0,0.66851,0.02868,0.05579,0.0,0.0,0.0,0.0,0.05567,0.0,0.0,0.05358,0.0,0.02636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,The City Match,"Mayne, Jasper",1,1118,1639,comedy,comedy,comedy,britdrama,University/Inns of Court;Nonprofessional;Adult Professional;Professional;Private,University/Inns of Court,20083,0.56018,0.0,0.0,0.09814,0.0,0.34168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17194,0.0478,0.0,0.0249,0.0,0.0493,0.0,0.0,0.0721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19519,0.02465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04885,0.0,0.0,0.0,0.0,0.0
393,The Comedy of Errors,"Shakespeare, William",1,866,1623,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,14412,0.37448,0.0,0.0,0.17985,0.0,0.44567,0.068,0.0,0.0,0.03449,0.0,0.0,0.17374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03365,0.0,0.0,0.0,0.0,0.0,0.0646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10942,0.0,0.0,0.0,0.0,0.0
592,The Constant Maid (Love Will Find Out the Way),"Shirley, James",1,1146,1640,not in BritDrama,comedy,comedy,annals,Adult Professional;Professional,Adult Professional,15731,0.22046,0.0,0.15612,0.0,0.0,0.62342,0.0,0.03369,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03299,0.0,0.0,0.0,0.0,0.0,0.06173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248,0.0,0.0,0.0,0.0,0.0,0.0,0.02956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15612,0.0
457,The Devil Is an Ass,"Jonson, Ben",1,973,1631,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,26612,0.52082,0.0,0.0,0.0,0.0,0.47918,0.0531,0.0,0.0,0.01924,0.03792,0.0,0.03668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24568,0.01807,0.01845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01856,0.0,0.0,0.0,0.0,0.05419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,The Dutch Courtesan (Cockle de Moye),"Marston, John",1,501,1605,comedy,comedy,comedy,britdrama,Boys Professional;Professional,Boys Professional,17794,0.25334,0.0,0.0,0.0,0.0,0.74666,0.0,0.0,0.0,0.0,0.11099,0.0,0.0,0.0,0.0,0.02613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02962,0.0,0.0,0.0,0.02877,0.0,0.02782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,The Elder Brother,"Fletcher, JohnMassinger, Philip",1,1046,1637,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,19130,0.27987,0.0,0.0,0.0,0.0,0.72013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02561,0.0,0.05264,0.0,0.0,0.02384,0.0,0.0,0.02561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02493
521,The Example,"Shirley, James",1,1054,1637,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,17731,0.19407,0.0,0.02837,0.05589,0.0,0.72167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02741,0.02769,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02859,0.0,0.0,0.0,0.0,0.0,0.05426,0.0,0.02809,0.05612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837,0.0,0.0,0.0,0.0
242,The Fair Maid of the Exchange,Anonymous,1,570,1607,comedy,comedy,comedy,britdrama,Adult Professional;Professional,Adult Professional,20607,0.41248,0.0,0.0,0.0,0.0,0.58752,0.0,0.0,0.0,0.0,0.16999,0.0,0.02208,0.0,0.0,0.0,0.0,0.09798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05032,0.0,0.0,0.0,0.0,0.02412,0.0,0.02402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,The Family of Love,"Barry, Lording",1,616,1608,comedy,comedy,comedy,britdrama,Boys Professional;Professional,Boys Professional,19712,0.72534,0.0,0.0,0.0,0.0,0.27466,0.0,0.0,0.0,0.47788,0.10136,0.0,0.02374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.02481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02481,0.0,0.0,0.0,0.02445,0.0,0.0,0.0,0.0,0.0,0.0
