work_id,title,author,year_first,n_editions,genre_britdrama,genre_annals,genre_main,genre_source
67,Gammer Gurton's Needle,"Stevenson, William",1575,1,comedy,comedy,comedy,britdrama
323,"Greene's Tu Quoque, or The City Gallant","Cooke, John",1614,1,comedy,comedy,comedy,britdrama
354,Hans Beer-Pot (See Me and See Me Not),"Belchier, Dabridgcourt",1618,1,comedy,comedy;dialogue,comedy,britdrama
461,Holland's Leaguer,"Marmion, Shackerley",1632,1,comedy,comedy,comedy,britdrama
191,How a Man May Choose a Good Wife from a Bad,Anonymous,1602,1,comedy,comedy,comedy,britdrama
268,Humor Out of Breath,"Day, John",1608,1,comedy,comedy,comedy,britdrama
517,Hyde Park,"Shirley, James",1637,1,comedy,comedy,comedy,britdrama
305,"If It Be Not Good, the Devil Is in It (If This Be Not a Good Play, the Devil Is in It)","Dekker, Thomas",1612,1,comedy,comedy,comedy,britdrama
177,Jack Drum's Entertainment (Katherine and Pasquil),"Marston, John",1601,1,comedy,comedy,comedy,britdrama
267,Law Tricks,"Day, John",1608,1,comedy,comedy,comedy,britdrama
174,Look About You,Anonymous,1600,1,comedy,comedy,comedy,britdrama
150,Love's Labor's Lost,"Shakespeare, William",1598,1,comedy,comedy,comedy,britdrama
297,May Day,"Chapman, George",1611,1,comedy,comedy,comedy,britdrama
244,Michaelmas Term,"Middleton, Thomas",1607,1,comedy,comedy,comedy,britdrama
106,Midas,"Lyly, John",1592,1,comedy,comedy,comedy,britdrama
558,Monsieur Thomas (Father's Own Son),"Fletcher, John",1639,1,comedy,comedy,comedy,britdrama
125,Mother Bombie,"Lyly, John",1594,1,comedy,comedy,comedy,britdrama
168,Much Ado About Nothing,"Shakespeare, William",1600,1,comedy,comedy,comedy,britdrama
250,Northward Ho,"Dekker, ThomasWebster, John",1607,1,comedy,comedy,comedy,britdrama
230,"Parasitaster, or The Fawn","Marston, John",1606,1,comedy,comedy,comedy,britdrama
198,Patient Grissel,"Dekker, ThomasChettle, HenryHaughton, William",1603,1,comedy,comedy,comedy,britdrama
186,"Poetaster, or The Arraignment","Jonson, Ben",1602,1,comedy,comedy,comedy,britdrama
46,Ralph Roister Doister,"Udall, Nicholas",1566,1,comedy,comedy,comedy,britdrama
292,"Ram Alley, or Merry Tricks","Barry, Lording",1611,1,comedy,comedy,comedy,britdrama
598,Rule a Wife and Have a Wife,"Fletcher, John",1640,1,comedy,comedy,comedy,britdrama
82,Sappho and Phao,"Lyly, John",1584,1,comedy,comedy;classical legend,comedy,britdrama
195,"Satiromastix, or The Untrussing of the Humorous Poet","Dekker, Thomas",1602,1,comedy,comedy,comedy,britdrama
228,Sir Giles Goosecap,"Chapman, George",1606,1,comedy,comedy,comedy,britdrama
173,Summer's Last Will and Testament,"Nashe, Thomas",1600,1,comedy,comedy,comedy,britdrama
60,Supposes,"Gascoigne, GeorgeAriosto, Ludovico",1573,1,comedy,comedy,comedy,britdrama
353,"Technogamia, or The Marriages of the Arts","Holyday, Barten",1618,1,comedy,morality,comedy,britdrama
303,The Alchemist,"Jonson, Ben",1612,1,comedy,comedy,comedy,britdrama
586,The Antipodes,"Brome, Richard",1640,1,not in BritDrama,comedy,comedy,annals
549,The Ball,"Shirley, James",1639,1,comedy,comedy,comedy,britdrama
479,The Bird in a Cage (The Beauties),"Shirley, James",1633,1,comedy,comedy,comedy,britdrama
146,The Blind Beggar of Alexandria (Irus),"Chapman, George",1598,1,comedy,comedy,comedy,britdrama
281,The Case Is Altered,"Jonson, Ben",1609,1,comedy,comedy,comedy,britdrama
568,The City Match,"Mayne, Jasper",1639,1,comedy,comedy,comedy,britdrama
393,The Comedy of Errors,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
592,The Constant Maid (Love Will Find Out the Way),"Shirley, James",1640,1,not in BritDrama,comedy,comedy,annals
457,The Devil Is an Ass,"Jonson, Ben",1631,1,comedy,comedy,comedy,britdrama
214,The Dutch Courtesan (Cockle de Moye),"Marston, John",1605,1,comedy,comedy,comedy,britdrama
515,The Elder Brother,"Fletcher, JohnMassinger, Philip",1637,1,comedy,comedy,comedy,britdrama
521,The Example,"Shirley, James",1637,1,comedy,comedy,comedy,britdrama
242,The Fair Maid of the Exchange,Anonymous,1607,1,comedy,comedy,comedy,britdrama
263,The Family of Love,"Barry, Lording",1608,1,comedy,comedy,comedy,britdrama
532,The Fancies Chaste and Noble,"Ford, John",1638,1,comedy,,comedy,britdrama
255,The Fleer,"Sharpham, Edward",1607,1,comedy,comedy,comedy,britdrama
523,The Gamester,"Shirley, James",1637,1,comedy,comedy,comedy,britdrama
226,The Gentleman Usher (Vincentio and Margaret),"Chapman, George",1606,1,comedy,,comedy,britdrama
429,The Grateful Servant (The Faithful Servant),"Shirley, James",1630,1,comedy,tragicomedy,comedy,britdrama
505,The Great Duke of Florence,"Massinger, Philip",1636,1,comedy,tragicomedy,comedy,britdrama
384,The Heir,"May, Thomas",1622,1,comedy,comedy,comedy,britdrama
321,The Hog Hath Lost His Pearl,"Tailor, Robert",1614,1,comedy,comedy,comedy,britdrama
594,The Hollander (Love's Trial),"Glapthorne, Henry",1640,1,comedy,comedy,comedy,britdrama
337,The Honest Lawyer,"S., S.",1616,1,comedy,comedy,comedy,britdrama
577,The Humorous Courtier (The Duke),"Shirley, James",1640,1,comedy,comedy,comedy,britdrama
235,The Isle of Gulls,"Day, John",1606,1,comedy,comedy,comedy,britdrama
469,The Jealous Lovers,"Randolph, Thomas",1632,1,comedy,comedy,comedy,britdrama
580,"The Knave in Grain, New Vamped","D., J.",1640,1,comedy,comedy,comedy,britdrama
316,The Knight of the Burning Pestle,"Beaumont, Francis",1613,1,comedy,romance;burlesque,comedy,britdrama
518,The Lady of Pleasure,"Shirley, James",1637,1,comedy,comedy,comedy,britdrama
555,The Lady's Trial,"Ford, John",1639,1,not in BritDrama,comedy,comedy,annals
494,The Late Lancashire Witches,"Heywood, ThomasBrome, Richard",1634,1,comedy,topical play,comedy,britdrama
222,The London Prodigal,Anonymous,1605,1,comedy,comedy,comedy,britdrama
616,"The Magnetic Lady, or Humors Reconciled","Jonson, Ben",1640,1,comedy,comedy,comedy,britdrama
164,The Maid's Metamorphosis,Anonymous,1600,1,pastoral; romance,comedy,comedy,annals
172,The Merchant of Venice (The Jew of Venice),"Shakespeare, William",1600,1,comedy,comedy,comedy,britdrama
264,The Merry Devil of Edmonton,Anonymous,1608,1,comedy,comedy,comedy,britdrama
187,The Merry Wives of Windsor,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
442,"The New Inn, or The Light Heart","Jonson, Ben",1631,1,comedy,comedy,comedy,britdrama
574,"The Night Walker, or The Little Thief","Fletcher, JohnShirley, James",1640,1,comedy,comedy,comedy,britdrama
463,The Northern Lass,"Brome, Richard",1632,1,comedy,comedy,comedy,britdrama
575,The Opportunity,"Shirley, James",1640,1,comedy,comedy,comedy,britdrama
243,The Phoenix,"Middleton, Thomas",1607,1,comedy,comedy,comedy,britdrama
15,The Play of the Weather,"Heywood, John",1544,1,comedy,comedy;interlude,comedy,britdrama
251,"The Puritan, or The Widow of Watling Street (The Puritan Widow)","Middleton, Thomas",1607,1,comedy,comedy,comedy,britdrama
465,The Rival Friends,"Hausted, Peter",1632,1,comedy,tragicomedy,comedy,britdrama
298,"The Roaring Girl, or Moll Cutpurse","Dekker, ThomasMiddleton, Thomas",1611,1,comedy,comedy,comedy,britdrama
538,The Royal Master,"Shirley, James",1638,1,not in BritDrama,comedy,comedy,annals
441,The School of Compliment (Love Tricks),"Shirley, James",1631,1,comedy,comedy,comedy,britdrama
334,The Scornful Lady,"Beaumont, FrancisFletcher, John",1616,1,comedy,comedy,comedy,britdrama
175,"The Shoemaker's Holiday, or The Gentle Craft","Dekker, Thomas",1600,1,comedy,comedy,comedy,britdrama
556,"The Sophister (Fallacy, or The Troubles of Great Hermenia)","Zouche, Richard",1639,1,comedy,morality,comedy,britdrama
456,The Staple of News,"Jonson, Ben",1631,1,comedy,comedy,comedy,britdrama
120,The Taming of a Shrew,Anonymous,1594,1,comedy,comedy,comedy,britdrama
120.5,The Taming of the Shrew,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
390,The Tempest,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
391,The Two Gentlemen of Verona,"Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
285,The Two Maids of More-Clacke,"Armin, Robert",1609,1,comedy,comedy,comedy,britdrama
364,"The Two Merry Milkmaids, or The Best Words Wear the Garland","Cumber, John",1620,1,comedy,comedy,comedy,britdrama
425,The Wedding,"Shirley, James",1629,1,comedy,comedy,comedy,britdrama
301,The Widow's Tears,"Chapman, George",1612,1,comedy,comedy,comedy,britdrama
535,The Wise Woman of Hogsdon,"Heywood, Thomas",1638,1,comedy,comedy,comedy,britdrama
477,The Witty Fair One,"Shirley, James",1633,1,comedy,comedy,comedy,britdrama
245,The Woman Hater (The Hungry Courtier),"Beaumont, FrancisFletcher, John",1607,1,comedy,comedy,comedy,britdrama
144,The Woman in the Moon,"Lyly, John",1597,1,comedy,comedy,comedy,britdrama
508,The Wonder of A Kingdom,"Dekker, Thomas",1636,1,comedy,comedy,comedy,britdrama
37,Thersites,"Udall, Nicholas",1562,1,comedy,interlude,comedy,britdrama
540,Tottenham Court,"Nabbes, Thomas",1638,1,comedy,,comedy,britdrama
396,"Twelfth Night, or What You Will","Shakespeare, William",1623,1,comedy,comedy,comedy,britdrama
259,"Volpone, or The Fox","Jonson, Ben",1616,1,comedy,comedy,comedy,britdrama
257,Westward Ho,"Dekker, ThomasWebster, John",1607,1,comedy,comedy,comedy,britdrama
252,What You Will,"Marston, John",1607,1,comedy,,comedy,britdrama
234,Wily Beguiled,Anonymous,1606,1,comedy,comedy,comedy,britdrama
591,Wit in a Constable,"Glapthorne, Henry",1640,1,not in BritDrama,comedy,comedy,annals
266,Your Five Gallants (The Five Witty Gallants),"Middleton, Thomas",1608,1,comedy,comedy,comedy,britdrama
153,1 Edward the Fourth,"Heywood, Thomas",1600,1,history,history,history,britdrama
145,1 Henry the Fourth,"Shakespeare, William",1598,1,history,history,history,britdrama
399,1 Henry the Sixth,"AnonymousMarlowe, ChristopherShakespeare, WilliamNashe, Thomas",1623,1,history,history,history,britdrama
215,"1 If You Know Not Me You Know Nobody, or The Troubles of Queen Elizabeth","Heywood, Thomas",1605,1,history,history,history,britdrama
166,1 Sir John Oldcastle,"Wilson, RobertDrayton, MichaelMunday, AnthonyHathaway, Richard",1600,1,history,history,history,britdrama
101,1 The Troublesome Reign of King John,Anonymous,1591,1,history,history,history,britdrama
154,2 Edward the Fourth,"Heywood, Thomas",1600,1,history,history,history,britdrama
167,2 Henry the Fourth,"Shakespeare, William",1600,1,history,history,history,britdrama
119,2 Henry the Sixth (The First Part of the Contention betwixt the Two Famous Houses of York and Lancaster),"AnonymousMarlowe, ChristopherShakespeare, William",1600,1,history,history,history,britdrama
224,2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles),"Heywood, Thomas",1606,1,history,history,history,britdrama
102,2 The Troublesome Reign of King John,Anonymous,1611,1,history,history,history,britdrama
138,3 Henry the Sixth (The True Tragedy of Richard Duke of York and the Good King Henry the Sixth),"AnonymousMarlowe, ChristopherShakespeare, William",1623,1,history,history,history,britdrama
192,"A Larum for London, or The Siege of Antwerp",Anonymous,1602,1,history,history,history,britdrama
112,Edward the First,"Peele, George",1593,1,history,history,history,britdrama
129,Edward the Second,"Marlowe, Christopher",1594,1,history,history,history,britdrama
482,Fuimus Troes (The True Trojans),"Fisher, Jasper",1633,1,history,history,history,britdrama
400,Henry the Eighth (All Is True),"Shakespeare, WilliamFletcher, John",1623,1,history,history,history,britdrama
165,Henry the Fifth,"Shakespeare, William",1600,1,history,history,history,britdrama
114,Jack Straw,Anonymous,1593,1,history,history,history,britdrama
398,King John,"Shakespeare, William",1623,1,history,history,history,britdrama
615,Mortimer His Fall,"Jonson, Ben",1640,1,not in BritDrama,history,history,annals
141,Richard the Second,"Shakespeare, William",1597,1,tragedy; history,history,history,annals
142,Richard the Third,"Shakespeare, William",1623,1,tragedy; history,history,history,annals
274,The Conspiracy of Charles Duke of Byron,"Chapman, George",1608,1,history,tragedy,history,britdrama
451,The Duchess of Suffolk,"Drue, Thomas",1631,1,history,history,history,britdrama
256,The Famous History of Sir Thomas Wyatt,"Heywood, ThomasDekker, ThomasChettle, HenryWebster, John",1607,1,history,history,history,britdrama
160,The Love of King David and Fair Bathsheba,"Peele, George",1599,1,biblical play; history,history,history,annals
140,The Reign of King Edward the Third,"AnonymousShakespeare, William",1596,1,history,history,history,britdrama
213,The True Chronicle of King Leir (King Lear and his Three Daughters),Anonymous,1605,1,history,history,history,britdrama
126,The True Tragedy of Richard the Third,Anonymous,1594,1,tragedy; history,history,history,annals
520,The Valiant Scot,"W., J.",1637,1,history,tragedy,history,britdrama
327,The Valiant Welshman (Caradoc the Great),"A., R.",1615,1,history,history,history,britdrama
189,Thomas Lord Cromwell,"S., W.",1602,1,history,history,history,britdrama
212,When You See Me You Know Me (Henry the Eighth),"Rowley, Samuel",1605,1,history,history,history,britdrama
32,Robin Hood (Robin Hood and the Friar) (Robin Hood and the Potter),Anonymous,1590,1,romance; folk romance,interlude,interlude,annals
453,Albion's Triumph,"Townshend, Aurelian",1631,1,masque,masque,masque,britdrama
526,Britannia Triumphans (Britain Triumphing),"Davenant, William",1637,1,not in BritDrama,masque,masque,annals
452,Chloridia: Rites to Chloris and Her Nymphs,"Jonson, Ben",1631,1,masque,masque,masque,britdrama
606,Christmas His Masque (Christmas His Show),"Jonson, Ben",1641,1,masque,masque,masque,britdrama
496,Coelum Britannicum (The British Heaven),"Carew, Thomas",1634,1,masque,masque,masque,britdrama
609,For the Honor of Wales,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
237,"Hymenaei, or the Solemnities of Masque and Barriers at a Marriage (Truth versus Opinion)","Jonson, Ben",1606,1,masque,masque,masque,britdrama
437,Love's Triumph Through Callipolis,"Jonson, Ben",1630,1,masque,masque,masque,britdrama
350,Lovers Made Men (The Masque at Lord Hay's),"Jonson, Ben",1617,1,masque,masque,masque,britdrama
527,"Luminalia, or The Festival of Light","Davenant, William",1637,1,not in BritDrama,masque,masque,annals
348,Mercury Vindicated from the Alchemists at Court,"Jonson, Ben",1616,1,masque,masque,masque,britdrama
514,Microcosmus,"Nabbes, Thomas",1637,1,masque,morality;masque,masque,britdrama
407,Neptune's Triumph for the Return of Albion,"Jonson, Ben",1624,1,masque,masque,masque,britdrama
610,News from the New World Discovered in the Moon,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
611,"Pan's Anniversary, or The Shepherds' Holiday","Jonson, Ben",1641,1,pastoral; masque,masque,masque,annals
608,Pleasure Reconciled to Virtue,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
571,Salmacida Spolia,"Davenant, William",1639,1,not in BritDrama,masque,masque,annals
454,Tempe Restored  (Tempe Restauratum),"Townshend, Aurelian",1631,1,masque,masque,masque,britdrama
291,"Tethys' Festival, or The Queen's Wake (Tethyos Epinicia)","Daniel, Samuel",1610,1,masque,masque,masque,britdrama
411,The Fortunate Isles and Their Union,"Jonson, Ben",1625,1,masque,masque,masque,britdrama
349,The Golden Age Restored,"Jonson, Ben",1616,1,masque,masque,masque,britdrama
585,The Gypsies Metamorphosed,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
358,"The Inner-Temple Masque, or The Masque of Heroes","Middleton, Thomas",1619,1,masque,masque,masque,britdrama
319,The Lord's Masque (Wedding Masque of Stars and Statues Made Human),"Campion, Thomas",1613,1,masque,masque;wedding masque,masque,britdrama
271,The Masque at Lord Haddington's Marriage (The Hue and Cry after the Fugitive Cupid),"Jonson, Ben",1616,1,masque,masque;wedding masque,masque,britdrama
238,The Masque at Lord Hay's Marriage (Apollo's Knights),"Campion, Thomas",1607,1,masque,masque;wedding masque,masque,britdrama
62,The Masque for Lord Montacute (The Montague Masque) (Wedding Masque of Venetians),"Gascoigne, George",1575,1,masque,masque;wedding masque,masque,britdrama
381,The Masque of Augurs,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
270,The Masque of Beauty,"Jonson, Ben",1608,1,masque,masque,masque,britdrama
269,The Masque of Blackness (The Twelfth Night's Revels),"Jonson, Ben",1608,1,masque,masque,masque,britdrama
280,The Masque of Queens,"Jonson, Ben",1616,1,masque,masque,masque,britdrama
309,The Masque of the Inner Temple and Gray's Inn (Wedding Masque of Olympian Knights),"Beaumont, Francis",1613,1,masque,masque,masque,britdrama
488,The Triumph of Peace,"Shirley, James",1633,1,masque,masque,masque,britdrama
502,The Triumphs of the Prince d'Amour,"Davenant, William",1635,1,masque,masque,masque,britdrama
607,The Vision of Delight,"Jonson, Ben",1641,1,masque,masque,masque,britdrama
207,The Vision of the Twelve Goddesses (The Masque at Hampton Court),"Daniel, Samuel",1604,1,masque,masque,masque,britdrama
365,The World Tossed at Tennis,"Middleton, ThomasRowley, William",1620,1,masque,masque,masque,britdrama
385,Time Vindicated to Himself and to His Honors,"Jonson, Ben",1623,1,masque,masque,masque,britdrama
115,A Knack to Know a Knave,Anonymous,1594,1,moral,comedy,moral,britdrama
118,A Looking Glass for London and England,"Lodge, ThomasGreene, Robert",1594,1,biblical play; moral,morality,moral,annals
38,Albion Knight,Anonymous,1566,1,moral,morality;interlude,moral,britdrama
72,All for Money,"Lupton, Thomas",1578,1,moral,satire;morality,moral,britdrama
57,Enough Is as Good as a Feast,"Wager, William",1570,1,moral,morality,moral,britdrama
290,"Histriomastix, or The Player Whipped","Marston, John",1610,1,moral,comedy,moral,britdrama
30,Impatient Poverty,Anonymous,1561,1,moral,morality;interlude,moral,britdrama
50,Like Will to Like (Quoth the Devil to the Collier),"Fulwell, Ulpian",1587,1,moral,morality;interlude,moral,britdrama
239,"Lingua, or The Combat of the Tongue and the Five Senses for Superiority","Tomkis, Thomas",1607,1,comedy; allegory,morality,moral,annals
41,Lusty Juventus,"Wever, R.",1565,1,moral,morality,moral,britdrama
31,Nice Wanton,Anonymous,1560,1,moral,morality,moral,britdrama
124,The Cobbler's Prophecy,"Wilson, Robert",1594,1,moral,comedy,moral,britdrama
78,The Conflict of Conscience,"Woodes, Nathaniel",1581,1,moral,morality,moral,britdrama
190,The Contention between Liberality and Prodigality,Anonymous,1602,1,moral,morality;interlude,moral,britdrama
473,The Contention for Honor and Riches,"Shirley, James",1633,1,moral,morality,moral,britdrama
54,The Disobedient Child,"Ingelend, Thomas",1570,1,moral,interlude,moral,britdrama
47,The Life and Repentance of Mary Magdalene,"Wager, Lewis",1566,1,moral,interlude;biblical play,moral,britdrama
55,The Marriage of Wit and Science,Anonymous,1570,1,moral,morality;interlude,moral,britdrama
76.5,The Most Virtuous and Godly Susanna,"Garter, Thomas",1578,1,moral,morality;interlude,moral,britdrama
547,The Muses' Looking Glass,"Randolph, Thomas",1638,1,moral,comedy,moral,britdrama
134,The Pedlar's Prophecy,Anonymous,1595,1,moral,morality,moral,britdrama
4,The Summoning of Everyman,Anonymous,1534,1,not in BritDrama,morality,moral,annals
85,The Three Ladies of London,"Wilson, Robert",1592,1,moral,morality,moral,britdrama
24,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists","Bale, John",1548,1,moral,morality,moral,britdrama
93,The Three Lords and Three Ladies of London,"Wilson, Robert",1590,1,moral,morality,moral,britdrama
70,The Tide Tarrieth No Man,"Wapull, George",1576,1,moral,morality,moral,britdrama
49,The Trial of Treasure,"Wager, William",1567,1,moral,morality;interlude,moral,britdrama
27,Wealth and Health,Anonymous,1565,1,moral,morality;interlude,moral,britdrama
8,1 Gentleness and Nobility,"Rastell, John",1525,1,not in BritDrama,dialogue,other/multi,none
17,1 Nature,"Medwall, Henry",1530,1,not in BritDrama,morality;interlude,other/multi,none
593,1 Saint Patrick for Ireland,"Shirley, James",1640,1,not in BritDrama,,other/multi,none
9,2 Gentleness and Nobility,"Rastell, John",1525,1,not in BritDrama,dialogue,other/multi,none
18,2 Nature,"Medwall, Henry",1530,1,not in BritDrama,morality;interlude,other/multi,none
326,"A Merry Dialogue between Band, Cuff, and Ruff",Anonymous,1615,1,entertainment; academic entertainment,comedy;dialogue,other/multi,none
16,A Play of Love,"Heywood, John",1534,1,not in BritDrama,disputation,other/multi,none
541,Aglaura,"Suckling, John",1638,1,not in BritDrama,tragicomedy;tragedy,other/multi,none
564,Albertus Wallenstein,"Glapthorne, Henry",1639,1,not in BritDrama,history;foreign history,other/multi,none
529,Apollo and Daphne,"Heywood, Thomas",1637,1,classical legend or myth,dialogue,other/multi,none
208,Arches of Triumph (The Royal Entry of King James I into London),"Dekker, ThomasJonson, BenMiddleton, ThomasHarrison, StephenRuytinck, SimonCool, JacobThorius, Raphael",1604,1,entertainment; royal entertainment or entry,entertainment,other/multi,none
419,Britannia's Honor,"Dekker, Thomas",1628,1,civic play; pageant,civic pageant,other/multi,none
288,Chester's Triumph (St George's Day Entertainment),"Amory, RobertDavies, Richard",1610,1,civic play; pageant,entertainment,other/multi,none
295,Chruso-Thriambos: The Triumphs of Gold,"Munday, Anthony",1611,1,civic play; pageant,civic pageant,other/multi,none
335,"Chrysanaleia: The Golden Fishing, or Honor of Fishmongers","Munday, Anthony",1616,1,civic play; pageant,civic pageant,other/multi,none
338,"Civitatis Amor (Water Pageant for Prince Charles: London and Neptune, Hope and Peace)","Middleton, Thomas",1616,1,entertainment; royal entertainment or entry,entertainment,other/multi,none
524,Comus (The Masque at Ludlow Castle),"Milton, John",1637,1,pastoral; masque,masque;morality,other/multi,none
100,Descensus Astraeae (The Descent of Astraea),"Peele, George",1591,1,civic play; pageant,civic pageant,other/multi,none
322,Himatia-Poleos: The Triumphs of Old Drapery,"Munday, Anthony",1614,1,civic play; pageant,civic pageant,other/multi,none
51,Jacob and Esau,"Udall, Nicholas",1568,1,biblical play,interlude;biblical play,other/multi,none
528,Jupiter and Io,"Heywood, Thomas",1637,1,classical legend or myth,dialogue,other/multi,none
466,"Londini Artium et Scientiarum Scaturigo, or London's Fountain of Arts and Sciences","Heywood, Thomas",1632,1,civic play; pageant,civic pageant,other/multi,none
483,Londini Emporia (London's Markets),"Heywood, Thomas",1633,1,civic play; pageant,civic pageant,other/multi,none
522,"Londini Speculum, or London's Mirror","Heywood, Thomas",1637,1,not in BritDrama,civic pageant,other/multi,none
566,"Londini Status Pacatus, or London's Peaceable Estate","Heywood, Thomas",1639,1,not in BritDrama,civic pageant,other/multi,none
448,London's Ius Honorarium (London's Law of Honor),"Heywood, Thomas",1631,1,civic play; pageant,civic pageant,other/multi,none
289,London's Love to Prince Henry (Water Pageant of Corinea and Amphion),"Munday, Anthony",1610,1,entertainment; royal entertainment or entry,entertainment,other/multi,none
421,"London's Tempe, or The Field of Happiness","Dekker, Thomas",1629,1,civic play; pageant,civic pageant,other/multi,none
332,Metropolis Coronata: The Triumphs of Ancient Drapery,"Munday, Anthony",1615,1,civic play; pageant,civic pageant,other/multi,none
409,Monuments of Honor,"Webster, John",1624,1,civic play; pageant,civic pageant,other/multi,none
229,Nobody and Somebody,Anonymous,1606,1,history; satire,history;pseudo-history,other/multi,none
546,"Porta Pietatis, or The Port or Harbor of Piety","Heywood, Thomas",1638,1,not in BritDrama,civic pageant,other/multi,none
