topic,label,use,genres_tested,mean comedy,mean tragedy,mean history,mean tragicomedy,mean moral,mean romance,mean pastoral,mean masque,median comedy,median tragedy,median history,median tragicomedy,median moral,median romance,median pastoral,median masque,works_with_topic comedy,works_with_topic tragedy,works_with_topic history,works_with_topic tragicomedy,works_with_topic moral,works_with_topic romance,works_with_topic pastoral,works_with_topic masque,highest,highest_works_with_topic,highest_top_work_share,single_work_driven,second,ratio_high_second,lowest,kruskal_p,bh_q
10,"England and France: war, embassy and peace",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00017,0.00697,0.06511,0.0,0.0,0.01141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,8/111,12/34,0/29,0/28,3/18,0/15,0/38,history,12/34,0.2,,romance,5.71,masque,<1e-5,<1e-5
11,"Siblings, kin and confidants",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01211,0.00758,0.00196,0.01659,0.0,0.00233,0.00655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40/151,17/111,2/34,10/29,0/28,2/18,3/15,0/38,tragicomedy,10/29,0.24,,comedy,1.37,masque,2e-05,5e-05
12,"Olympian gods: Jupiter, Juno, Venus and Mars",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00188,0.00239,0.00087,0.00072,0.01311,0.00346,0.02532,0.18814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/151,6/111,1/34,1/29,2/28,3/18,1/15,15/38,masque,15/38,0.14,,pastoral,7.43,tragicomedy,<1e-5,<1e-5
14,"Royal love, favour and dynastic relationships",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00279,0.00581,0.01264,0.03039,0.0,0.01839,0.00169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/151,15/111,7/34,10/29,0/28,4/18,1/15,0/38,tragicomedy,10/29,0.32,,romance,1.65,masque,2e-05,5e-05
15,Friars and holy orders in plot,included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00695,0.0045,0.01575,0.01031,0.0,0.00535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9/151,8/111,4/34,1/29,0/28,2/18,0/15,0/38,history,4/34,0.52,YES,tragicomedy,1.53,masque,0.25898,0.27452
16,"Gallantry: ladies, lordships and compliment",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01375,0.00149,0.00191,0.00585,0.00708,0.00154,0.0,0.00379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40/151,4/111,2/34,6/29,4/28,1/18,0/15,1/38,comedy,40/151,0.15,,moral,1.94,pastoral,<1e-5,<1e-5
17,"Eastern conquest: Persians, Turks and soldans",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00074,0.024,0.0,0.00125,0.0,0.02268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/151,12/111,0/34,1/29,0/28,4/18,0/15,0/38,tragedy,12/111,0.26,,romance,1.06,masque,0.00011,0.00023
18,"Rebels, barons and the king's wars at home",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00026,0.00202,0.072,0.0,0.0,0.00984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,7/111,14/34,0/29,0/28,2/18,0/15,0/38,history,14/34,0.25,,romance,7.32,masque,<1e-5,<1e-5
20,"Hercules: labours, suffering and virtue",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00185,0.01295,0.0,0.00097,0.00211,0.0,0.00405,0.01127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5/151,6/111,0/34,1/29,1/28,0/18,3/15,1/38,tragedy,6/111,0.54,YES,masque,1.15,romance,0.0884,0.09969
21,"Cupid, Venus and the nymphs",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00809,0.00175,0.0,0.00093,0.00148,0.00028,0.094,0.02919,0.0,0.0,0.0,0.0,0.0,0.0,0.01446,0.0,18/151,6/111,0/34,1/29,1/28,1/18,8/15,3/38,pastoral,8/15,0.44,,masque,3.22,history,<1e-5,<1e-5
22,"Shepherds, flocks and Pan",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00456,0.00129,0.0,0.0,0.0,0.02326,0.07706,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/151,5/111,0/34,0/29,0/28,2/18,7/15,1/38,pastoral,7/15,0.59,YES,masque,2.93,moral,<1e-5,<1e-5
23,"Husbands, wives and jealousy",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00953,0.00495,0.0,0.00426,0.00183,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28/151,14/111,0/34,4/29,2/28,2/18,0/15,0/38,comedy,28/151,0.11,,tragedy,1.93,masque,0.00746,0.01069
24,"Apollo, Phoebus and the Muses",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00962,0.00221,0.0,0.0039,0.00266,0.0,0.00937,0.03381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/151,6/111,0/34,1/29,2/28,0/18,3/15,4/38,masque,4/38,0.39,,comedy,3.52,romance,0.16508,0.17855
25,"Kings, power and law: political sententiae",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00037,0.01499,0.00093,0.00247,0.0,0.00114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2/151,20/111,1/34,1/29,0/28,1/18,0/15,0/38,tragedy,20/111,0.37,,tragicomedy,6.07,masque,<1e-5,<1e-5
26,"Devils, hell and fiends",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00883,0.00314,0.00049,0.00165,0.01114,0.00027,0.0,0.01214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22/151,10/111,1/34,2/29,6/28,1/18,0/15,2/38,masque,2/38,0.75,YES,moral,1.09,pastoral,0.06839,0.08055
27,"Uncles, nephews and cousins: kinship and patronage",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01226,0.00156,0.00066,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37/151,4/111,1/34,0/29,1/28,0/18,0/15,0/38,comedy,37/151,0.11,,tragedy,7.84,masque,<1e-5,<1e-5
28,"Marriage-making: weddings, brides and matches",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.01062,0.00197,0.0,0.004,0.00826,0.0,0.00342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33/151,7/111,0/34,4/29,4/28,0/18,1/15,0/38,comedy,33/151,0.11,,moral,1.29,masque,5e-05,0.00012
30,"Constables, justices and the watch",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00858,0.00024,0.0038,0.0008,0.00099,0.00487,0.0,0.00144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14/151,1/111,2/34,1/29,1/28,1/18,0/15,1/38,comedy,14/151,0.5,YES,romance,1.76,pastoral,0.12116,0.13378
31,"Popes, cardinals and the crown",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00013,0.00313,0.03331,0.0,0.00555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,4/111,7/34,0/29,2/28,0/18,0/15,0/38,history,7/34,0.31,,moral,6.0,masque,<1e-5,<1e-5
32,Rings and jewels as tokens,included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00567,0.00118,0.00256,0.00934,0.0,0.00409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20/151,5/111,3/34,2/29,0/28,1/18,0/15,0/38,tragicomedy,2/29,0.51,YES,comedy,1.65,masque,0.02785,0.0369
33,"Fathers, daughters and marriage negotiations",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00923,0.00092,0.0,0.00089,0.00399,0.00194,0.00345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29/151,4/111,0/34,1/29,3/28,2/18,2/15,0/38,comedy,29/151,0.3,,moral,2.31,masque,9e-05,0.00019
34,"Thebes and royal catastrophe: siege, slaughter and funeral rites",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00054,0.01325,0.0,0.00136,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,12/111,0/34,1/29,0/28,1/18,0/15,0/38,tragedy,12/111,0.32,,tragicomedy,9.73,masque,0.00069,0.00126
35,"Fools, wit and railing",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.007,0.00178,0.0,0.0,0.00477,0.00151,0.0016,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29/151,5/111,0/34,0/29,3/28,2/18,1/15,1/38,comedy,29/151,0.16,,moral,1.47,tragicomedy,0.00022,0.00045
36,"Hell, Furies and the language of punishment",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00015,0.01295,0.00065,0.00155,0.00149,0.00261,0.00262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,21/111,1/34,2/29,1/28,1/18,1/15,0/38,tragedy,21/111,0.19,,pastoral,4.94,masque,<1e-5,<1e-5
37,"Riches, poverty and covetousness",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00108,0.00076,0.0,0.00134,0.0646,0.00199,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5/151,4/111,0/34,1/29,9/28,2/18,1/15,0/38,moral,9/28,0.41,,romance,32.42,masque,<1e-5,<1e-5
38,"Death, parting and grief at court",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00019,0.00481,0.01542,0.00282,0.0,0.00553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/151,14/111,12/34,2/29,0/28,3/18,0/15,0/38,history,12/34,0.14,,romance,2.79,masque,<1e-5,<1e-5
39,"Profit, conscience and dishonest dealing",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00074,0.00137,0.0012,0.0,0.04086,0.0,0.0,0.00293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/151,2/111,1/34,0/29,5/28,0/18,0/15,2/38,moral,5/28,0.48,,masque,13.95,pastoral,0.00087,0.00154
40,"Sin, guilt and violent loss within families",included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.00241,0.00705,0.00209,0.00489,0.00123,0.0,0.0,0.00442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/151,18/111,3/34,2/29,1/28,0/18,0/15,1/38,tragedy,18/111,0.12,,tragicomedy,1.44,pastoral,0.03195,0.04032
43,York and Lancaster: dynastic claims and conflict,included,"comedy, tragedy, history, tragicomedy, moral, romance, pastoral, masque",0.0,0.0,0.0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/151,0/111,12/34,0/29,0/28,0/18,0/15,0/38,history,12/34,0.19,,comedy,,masque,<1e-5,<1e-5
