chunk_id,edition_id,work_id,deep_id,title,author,year,genre_deep,play_type_deep,tcp,n_nodes_in_chunk,len_B_words
25_00025,25,16,21,A Play of Love,"Heywood, John",1534,not in BritDrama,University/Inns of Court;Nonprofessional,A03179,62,507
27_00000,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,64,488
27_00001,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,64,491
27_00002,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,62,487
27_00003,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,60,485
27_00004,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,60,495
27_00005,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,63,504
27_00006,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,63,478
27_00007,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,62,488
27_00008,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,61,488
27_00009,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,59,470
27_00010,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,67,478
27_00011,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,67,496
27_00012,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,79,492
27_00013,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,69,486
27_00014,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,82,509
27_00015,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,81,472
27_00016,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,83,502
27_00017,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,80,503
27_00018,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,83,508
27_00019,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,79,481
27_00020,27,17,5002.01,1 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,71,458
28_00000,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,64,480
28_00001,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,86,505
28_00002,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,78,511
28_00003,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,77,511
28_00004,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,79,491
28_00005,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,76,474
28_00006,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,76,486
28_00007,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,82,504
28_00008,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,76,478
28_00009,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,74,477
28_00010,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,77,478
28_00011,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,76,498
28_00012,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,72,471
28_00013,28,18,5002.02,2 Nature,"Medwall, Henry",1530,not in BritDrama,Interlude;Nonprofessional,A07395,72,486
